postcode,SA2,2021,Area Name,2026
3189,208031191.0,9198.0,Moorabbin - Heatherton,"11,063"
3190,208011171.0,12541.0,Cheltenham - Highett (West),"13,997"
3191,208011173.0,17518.0,Sandringham - Black Rock,"19,698"
3192,208031188.0,24355.0,Cheltenham - Highett (East),"29,075"
3192,208031188.0,24355.0,Cheltenham - Highett (East),"29,075"
3192,208031188.0,24355.0,Cheltenham - Highett (East),"29,075"
3192,208031188.0,24355.0,Cheltenham - Highett (East),"29,075"
3193,208011168.0,14124.0,Beaumaris,"15,314"
3193,208011173.0,17518.0,Sandringham - Black Rock,"19,698"
3193,208011173.0,17518.0,Sandringham - Black Rock,"19,698"
3193,208011168.0,14124.0,Beaumaris,"15,314"
3194,208031190.0,13304.0,Mentone,"15,771"
3194,208031190.0,13304.0,Mentone,"15,771"
3194,208031192.0,26.0,Moorabbin Airport,0
3195,208031189.0,13663.0,Edithvale - Aspendale,"14,465"
3195,208031183.0,8927.0,Aspendale Gardens - Waterways,"9,553"
3195,208031184.0,28.0,Braeside,60
3195,208031193.0,21429.0,Mordialloc - Parkdale,"23,093"
3195,208031193.0,21429.0,Mordialloc - Parkdale,"23,093"
3195,208031193.0,21429.0,Mordialloc - Parkdale,"23,093"
3195,208031183.0,8927.0,Aspendale Gardens - Waterways,"9,553"
3196,208031186.0,15314.0,Chelsea - Bonbeach,"16,805"
3196,208031186.0,15314.0,Chelsea - Bonbeach,"16,805"
3196,208031187.0,5428.0,Chelsea Heights,"5,744"
3196,208031189.0,13663.0,Edithvale - Aspendale,"14,465"
3197,208031185.0,12115.0,Carrum - Patterson Lakes,"13,511"
3197,208031185.0,12115.0,Carrum - Patterson Lakes,"13,511"
3198,214011375.0,17359.0,Seaford (Vic.),"18,856"
3198,214011375.0,17359.0,Seaford (Vic.),"18,856"
3199,214011371.0,23908.0,Frankston,"26,456"
3199,214011371.0,23908.0,Frankston,"26,456"
3199,214011371.0,23908.0,Frankston,"26,456"
3199,214011373.0,18948.0,Frankston South,"20,090"
3199,214011372.0,19665.0,Frankston North,"20,680"
3199,214011372.0,19665.0,Frankston North,"20,680"
3200,214011372.0,19665.0,Frankston North,"20,680"
3200,214011372.0,19665.0,Frankston North,"20,680"
